Basel II - Cham,1.35,0
Kriens - United Zurich,1.29,1
Basel II - Old Boys,1.34,1
Tuggen - Basel II,1.39,1
Rapperswil - Tuggen,1.21,0
United Zurich - Kriens,1.37,1
Basel II - Bruhl,1.45,1
Servette Geneve FC - Bruhl,1.35,1
Cham - Etoile-Carouge,1.46,0
Servette Geneve FC - Koniz,1.39,1
Cham - Breitenrain,1.34,0
Servette Geneve FC - Tuggen,1.44,1
Servette Geneve FC - Etoile-Carouge,1.38,1
Servette Geneve FC - Bruhl,1.35,1
Cham - Etoile-Carouge,1.46,0
Servette Geneve FC - Koniz,1.39,1
Cham - Breitenrain,1.34,0
Servette Geneve FC - Tuggen,1.44,1
Servette Geneve FC - Etoile-Carouge,1.38,1
Servette Geneve FC - Bruhl,1.35,1
Cham - Etoile-Carouge,1.46,0
Servette Geneve FC - Koniz,1.39,1
Cham - Breitenrain,1.34,0
Servette Geneve FC - Tuggen,1.44,1
Servette Geneve FC - Etoile-Carouge,1.38,1
Servette Geneve FC - Bruhl,1.35,1
Cham - Etoile-Carouge,1.46,0
Servette Geneve FC - Koniz,1.39,1
Cham - Breitenrain,1.34,0
Servette Geneve FC - Tuggen,1.44,1
Servette Geneve FC - Etoile-Carouge,1.38,1
Xamax - St. Gallen II,1.29,0
Xamax - Etoile-Carouge,1.19,0
Xamax - Locarno,1.17,1
Xamax - Tuggen,1.18,1
Xamax - Bruhl,1.25,1
Rapperswil - Etoile-Carouge,1.45,1
Zurich II - Delemont,1.4,1
Xamax - St. Gallen II,1.29,0
Xamax - Etoile-Carouge,1.19,0
Xamax - Locarno,1.17,1
Xamax - Tuggen,1.18,1
Xamax - Bruhl,1.25,1
Rapperswil - Etoile-Carouge,1.45,1
Zurich II - Delemont,1.4,1
Xamax - St. Gallen II,1.29,0
Xamax - Etoile-Carouge,1.19,0
Xamax - Locarno,1.17,1
Xamax - Tuggen,1.18,1
Xamax - Bruhl,1.25,1
Rapperswil - Etoile-Carouge,1.45,1
Zurich II - Delemont,1.4,1
Xamax - St. Gallen II,1.29,0
Xamax - Etoile-Carouge,1.19,0
Xamax - Locarno,1.17,1
Xamax - Tuggen,1.18,1
Xamax - Bruhl,1.25,1
Rapperswil - Etoile-Carouge,1.45,1
Zurich II - Delemont,1.4,1
Le Mont - Zurich II,1.5,1
YF Juventus - Old Boys,1.35,1
Tuggen - Stade Nyonnais,1.45,0
Zurich II - Kriens,1.35,0
Le Mont - Old Boys,1.3,0
Koniz - Delemont,1.4,0
Zurich II - St. Gallen II,1.4,0
Bruhl - St. Gallen II,1.4,0
Le Mont - Zurich II,1.5,1
YF Juventus - Old Boys,1.35,1
Tuggen - Stade Nyonnais,1.45,0
Zurich II - Kriens,1.35,0
Le Mont - Old Boys,1.3,0
Koniz - Delemont,1.4,0
Zurich II - St. Gallen II,1.4,0
Bruhl - St. Gallen II,1.4,0
Le Mont - Zurich II,1.5,1
YF Juventus - Old Boys,1.35,1
Tuggen - Stade Nyonnais,1.45,0
Zurich II - Kriens,1.35,0
Le Mont - Old Boys,1.3,0
Koniz - Delemont,1.4,0
Zurich II - St. Gallen II,1.4,0
Bruhl - St. Gallen II,1.4,0
Le Mont - Zurich II,1.5,1
YF Juventus - Old Boys,1.35,1
Tuggen - Stade Nyonnais,1.45,0
Zurich II - Kriens,1.35,0
Le Mont - Old Boys,1.3,0
Koniz - Delemont,1.4,0
Zurich II - St. Gallen II,1.4,0
Bruhl - St. Gallen II,1.4,0
Bruhl - Basel II,1.35,1
Yverdon - St. Gallen II,1.25,1
Yverdon - Tuggen,1.48,1
Stade Nyonnais - Schaffhausen,1.35,0
Basel II - Yverdon,1.14,1
Tuggen - Breitenrain,1.4,0
Sion II - St. Gallen II,1.3,0
Schaffhausen - Etoile-Carouge,1.14,1
Fribourg - Basel II,1.4,1
Breitenrain - YF Juventus,1.35,1
Delemont - Schaffhausen,1.3,0
Etoile-Carouge - Yverdon,1.5,1
Basel II - Kriens,1.4,1
St. Gallen II - YF Juventus,1.5,1
Schaffhausen - Bruhl,1.21,1
Bruhl - Basel II,1.35,1
Yverdon - St. Gallen II,1.25,1
Yverdon - Tuggen,1.48,1
Stade Nyonnais - Schaffhausen,1.35,0
Basel II - Yverdon,1.14,1
Tuggen - Breitenrain,1.4,0
Sion II - St. Gallen II,1.3,0
Schaffhausen - Etoile-Carouge,1.14,1
Fribourg - Basel II,1.4,1
Breitenrain - YF Juventus,1.35,1
Delemont - Schaffhausen,1.3,0
Etoile-Carouge - Yverdon,1.5,1
Basel II - Kriens,1.4,1
St. Gallen II - YF Juventus,1.5,1
Schaffhausen - Bruhl,1.21,1
Bruhl - Basel II,1.35,1
Yverdon - St. Gallen II,1.25,1
Yverdon - Tuggen,1.48,1
Stade Nyonnais - Schaffhausen,1.35,0
Basel II - Yverdon,1.14,1
Tuggen - Breitenrain,1.4,0
Sion II - St. Gallen II,1.3,0
Schaffhausen - Etoile-Carouge,1.14,1
Fribourg - Basel II,1.4,1
Breitenrain - YF Juventus,1.35,1
Delemont - Schaffhausen,1.3,0
Etoile-Carouge - Yverdon,1.5,1
Basel II - Kriens,1.4,1
St. Gallen II - YF Juventus,1.5,1
Schaffhausen - Bruhl,1.21,1
Bruhl - Basel II,1.35,1
Yverdon - St. Gallen II,1.25,1
Yverdon - Tuggen,1.48,1
Stade Nyonnais - Schaffhausen,1.35,0
Basel II - Yverdon,1.14,1
Tuggen - Breitenrain,1.4,0
Sion II - St. Gallen II,1.3,0
Schaffhausen - Etoile-Carouge,1.14,1
Fribourg - Basel II,1.4,1
Breitenrain - YF Juventus,1.35,1
Delemont - Schaffhausen,1.3,0
Etoile-Carouge - Yverdon,1.5,1
Basel II - Kriens,1.4,1
St. Gallen II - YF Juventus,1.5,1
Schaffhausen - Bruhl,1.21,1
Bruhl - Basel II,1.35,1
Yverdon - St. Gallen II,1.25,1
Yverdon - Tuggen,1.48,1
Stade Nyonnais - Schaffhausen,1.35,0
Basel II - Yverdon,1.14,1
Tuggen - Breitenrain,1.4,0
Sion II - St. Gallen II,1.3,0
Schaffhausen - Etoile-Carouge,1.14,1
Fribourg - Basel II,1.4,1
Breitenrain - YF Juventus,1.35,1
Delemont - Schaffhausen,1.3,0
Etoile-Carouge - Yverdon,1.5,1
Basel II - Kriens,1.4,1
St. Gallen II - YF Juventus,1.5,1
Schaffhausen - Bruhl,1.21,1
